unigram	frequency
shot	15
sheer	15
lions	15
weight	15
cows	15
descendant	15
burn	15
quickly	15
weary	15
whenever	15
gain	15
helping	15
shown	15
sky	15
bent	15
shelter	15
equal	15
feasting	15
altar	15
leto	15
fertile	15
tenth	15
slayer	15
birth	15
lift	15
wrapped	15
wounds	15
wherever	15
entered	15
finished	15
commanded	15
mounted	15
silence	15
nay	15
band	15
cause	15
goodwill	15
bowls	15
leading	15
awful	15
mourned	15
meant	15
wretch	15
lineage	15
obeyed	15
leaning	15
wedding	15
goat	15
early	15
later	15
posts	15
teeth	15
across	15
skill	15
veil	15
rites	15
feeding	15
thoas	15
picked	15
dearest	15
mercy	15
south	15
havoc	15
epeans	15
mourn	14
distance	14
arts	14
phoenix	14
onset	14
rim	14
priest	14
milk	14
weapons	14
snow	14
aloft	14
bury	14
watches	14
falling	14
chose	14
noise	14
miserable	14
miss	14
flame	14
panthous	14
bold	14
mere	14
champion	14
prevent	14
known	14
obey	14
reasonable	14
scamander	14
wooded	14
happen	14
ram	14
strode	14
rise	14
danaan	14
ends	14
horsemen	14
carrying	14
loudly	14
swiftly	14
directions	14
nausicaa	14
working	14
irus	14
yard	14
asking	14
displeased	14
devour	14
throwing	14
hardship	14
dance	14
doubt	14
keeps	14
destroy	14
girded	14
remained	14
lament	14
dulichium	14
bellerophon	14
immediately	14
plenty	14
pierce	14
doomed	14
particularly	14
rattling	14
won	14
support	14
anchises	14
sorely	14
dressed	14
flowing	14
vanquished	14
livelong	14
herds	14
loose	14
wet	14
prepare	14
lit	14
lemnos	14
turns	14
new	14
philoetius	14
cheering	14
several	14
cebriones	13
swore	13
cries	13
briseis	13
summits	13
sailors	13
helmets	13
speared	13
prophet	13
ruler	13
wooing	13
hound	13
blows	13
cheered	13
expect	13
wolves	13
distant	13
witness	13
stop	13
rule	13
stature	13
fountain	13
meeting	13
mist	13
argus	13
orestes	13
worked	13
looks	13
theoclymenus	13
loth	13
narrow	13
dense	13
fitted	13
wore	13
raging	13
beggar	13
